player_id,player_name,player_firstName,player_lastName,player_birthDate,player_birthCity,player_birthCity_Lat,player_birthCity_Long,player_birthCountry,player_birthStateProvince,player_nationality,player_height,player_weight,player_shootsCatches,player_primaryPositionCode
8459432,Jocelyn Thibault,Jocelyn,Thibault,1975-01-12,Montréal,45.5089,-73.5617,CAN,QC,CAN,"5' 11""",169,L,G
8459435,Denis Pederson,Denis,Pederson,1975-09-10,Prince Albert,53.2,-105.75,CAN,SK,CAN,"6' 2""",205,R,C
8459436,Adam Deadmarsh,Adam,Deadmarsh,1975-05-10,Trail,35.0698,-80.6457,CAN,BC,USA,"6' 0""",205,R,R
8459441,Landon Wilson,Landon,Wilson,1975-03-13,St. Louis,38.6358,-90.2451,USA,MO,USA,"6' 3""",224,R,R
8459443,Anders Eriksson,Anders,Eriksson,1975-01-09,Bollnas,61.352,16.3666,SWE,,SWE,"6' 3""",224,L,D
8459446,Kevyn Adams,Kevyn,Adams,1974-10-08,Washington,38.9047,-77.0163,USA,DC,USA,"6' 1""",200,R,C
8459454,Jay Pandolfo,Jay,Pandolfo,1974-12-27,Winchester,36.1368,-115.13,USA,MA,USA,"6' 1""",190,L,L
8459457,Jamie Langenbrunner,Jamie,Langenbrunner,1975-07-24,Cloquet,46.7221,-92.4923,USA,MN,USA,"6' 1""",205,R,R
8459461,Brendan Morrison,Brendan,Morrison,1975-08-15,Pitt Meadows,49.2333,-122.683,CAN,BC,CAN,"5' 11""",176,L,C
8459486,Krzysztof Oliwa,Krzysztof,Oliwa,1973-04-12,Tychy,50.1667,19.0,POL,,POL,"6' 5""",245,L,L
8459514,Jamal Mayers,Jamal,Mayers,1974-10-24,Toronto,43.7417,-79.3733,CAN,ON,CAN,"6' 1""",222,R,R
8459534,Miroslav Satan,Miroslav,Satan,1974-10-22,Topolcany,,,SVK,,SVK,"6' 3""",191,L,R
8459538,Nolan Pratt,Nolan,Pratt,1975-08-14,Fort McMurray,,,CAN,AB,CAN,"6' 3""",207,L,D
8459549,Norm Maracle,Norm,Maracle,1974-10-02,Belleville,40.795,-74.1616,CAN,ON,CAN,"5' 9""",175,L,G
8459550,Anders Myrvold,Anders,Myrvold,1975-08-12,Lorenskog,,,NOR,,NOR,"6' 1""",178,L,D
8459566,Steve Brule,Steve,Brule,1975-01-15,Montréal,45.5089,-73.5617,CAN,QC,CAN,"6' 0""",200,R,C
8459587,Todd Marchant,Todd,Marchant,1973-08-12,Buffalo,42.9016,-78.8487,USA,NY,USA,"5' 10""",180,L,C
8459628,Hal Gill,Hal,Gill,1975-04-06,Concord,37.9722,-122.002,USA,MA,USA,"6' 7""",243,L,D
8459654,Joel Prpic,Joel,Prpic,1974-09-25,Sudbury,51.5537,-0.3199,CAN,ON,CAN,"6' 6""",236,L,C
8459670,Kimmo Timonen,Kimmo,Timonen,1975-03-18,Kuopio,62.8925,27.6783,FIN,,FIN,"5' 10""",194,L,D
8460012,Eric Messier,Eric,Messier,1973-10-29,Drummondville,45.8833,-72.4833,CAN,QC,CAN,"6' 2""",197,L,L
8460014,Eric Bertrand,Eric,Bertrand,1975-04-16,St-Ephrem,,,CAN,QC,CAN,"6' 1""",205,L,L
8460254,Greg De Vries,Greg,De Vries,1973-01-04,Sundridge,,,CAN,ON,CAN,"6' 2""",205,L,D
8460465,Petr Sykora,Petr,Sykora,1976-11-19,Plzen,49.7414,13.3825,CZE,,CZE,"6' 0""",190,L,R
8460482,Stephen Guolla,Stephen,Guolla,1973-03-15,Toronto,43.7417,-79.3733,CAN,ON,CAN,"6' 0""",190,L,C
8460493,Oleg Tverdovsky,Oleg,Tverdovsky,1976-05-18,Donetsk,48.0089,37.8042,UKR,,RUS,"6' 1""",211,L,D
8460501,Jeff Friesen,Jeff,Friesen,1976-08-05,Meadow Lake,40.924,-74.5121,CAN,SK,CAN,"6' 1""",212,L,L
