player_id,player_name,player_firstName,player_lastName,player_birthDate,player_birthCity,player_birthCountry,player_birthStateProvince,player_nationality,player_height,player_weight,player_shootsCatches,player_primaryPositionCode
8477482,Zach Sanford,Zach,Sanford,1994-11-09,Salem,USA,MA,USA,"6' 4""",206,L,L
8477492,Nathan MacKinnon,Nathan,MacKinnon,1995-09-01,Halifax,CAN,NS,CAN,"6' 0""",200,R,C
8477501,Valeri Nichushkin,Valeri,Nichushkin,1995-03-04,Chelyabinsk,RUS,N/A,RUS,"6' 4""",210,L,R
8477520,Jean-Sebastien Dea,Jean-Sebastien,Dea,1994-02-08,Laval,CAN,QC,CAN,"5' 11""",174,R,C
8477573,Nathan Walker,Nathan,Walker,1994-02-07,Cardiff,GBR,N/A,AUS,"5' 9""",187,L,L
8477839,Conor Sheary,Conor,Sheary,1992-06-08,Winchester,USA,MA,USA,"5' 9""",179,L,L
8477845,Trevor van Riemsdyk,Trevor,van Riemsdyk,1991-07-24,Middletown,USA,NJ,USA,"6' 3""",191,R,D
8477944,Jakub Vrana,Jakub,Vrana,1996-02-28,Prague,CZE,N/A,CZE,"6' 0""",190,L,L
8477952,Robby Fabbri,Robby,Fabbri,1996-01-22,Mississauga,CAN,ON,CAN,"5' 11""",185,L,C
8477964,Ivan Barbashev,Ivan,Barbashev,1995-12-14,Moscow,RUS,N/A,RUS,"6' 1""",195,L,C
8477979,Nicolas Aube-Kubel,Nicolas,Aube-Kubel,1996-05-10,Slave Lake,CAN,AB,CAN,"6' 0""",207,R,R
8477992,Jonas Johansson,Jonas,Johansson,1995-09-19,Gavle,SWE,N/A,SWE,"6' 5""",220,L,G
8478010,Brayden Point,Brayden,Point,1996-03-13,Calgary,CAN,AB,CAN,"5' 11""",180,R,C
8478020,Michael Amadio,Michael,Amadio,1996-05-13,Sault Ste. Marie,CAN,ON,CAN,"6' 1""",204,R,R
8478038,Devon Toews,Devon,Toews,1994-02-21,Abbotsford,CAN,BC,CAN,"6' 1""",191,L,D
8478049,Ben Thomas,Ben,Thomas,1996-05-28,Calgary,CAN,AB,CAN,"6' 1""",187,R,D
8478063,Shane Gersich,Shane,Gersich,1996-07-10,Chaska,USA,MN,USA,"5' 11""",185,L,L
8478069,Daniel Walcott,Daniel,Walcott,1994-02-19,Ile Perrot,CAN,QC,CAN,"6' 1""",175,L,L
8478104,Sammy Blais,Sammy,Blais,1996-06-17,Montmagny,CAN,QC,CAN,"6' 2""",206,L,L
8478106,Dylan Sikura,Dylan,Sikura,1995-06-01,Aurora,CAN,ON,CAN,"5' 11""",170,L,R
8478373,Nikita Soshnikov,Nikita,Soshnikov,1993-10-14,Nizhny Tagil,RUS,N/A,RUS,"5' 11""",190,L,R
8478393,Kyle Baun,Kyle,Baun,1992-05-04,Toronto,CAN,ON,CAN,"6' 2""",209,R,R
8478403,Jack Eichel,Jack,Eichel,1996-10-28,North Chelmsford,USA,MA,USA,"6' 2""",207,R,C
8478407,Vince Dunn,Vince,Dunn,1996-10-29,Mississauga,CAN,ON,CAN,"6' 0""",200,L,D
8478416,Erik Cernak,Erik,Cernak,1997-05-28,Kosice,SVK,N/A,SVK,"6' 4""",224,R,D
8478420,Mikko Rantanen,Mikko,Rantanen,1996-10-29,Nousiainen,FIN,N/A,FIN,"6' 4""",215,L,R
